trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
128310976,2,09/01/2019 11:00,09/01/2019 11:02,4344,34.014309,-118.491341,4344,34.014309,-118.491341,16102,30,Round Trip,Monthly Pass,smart
128311419,11,09/01/2019 11:01,09/01/2019 11:12,3007,34.05048,-118.254593,3062,34.047749,-118.243172,18848,30,One Way,Monthly Pass,electric
128311420,11,09/01/2019 11:01,09/01/2019 11:12,4293,34.062279,-118.271523,3005,34.0485,-118.258537,16600,1,One Way,Walk-up,electric
128313395,56,09/01/2019 11:02,09/01/2019 11:58,4344,34.014309,-118.491341,4346,33.984341,-118.47155,15746,365,One Way,Walk-up,smart
128314468,75,09/01/2019 11:02,09/01/2019 12:17,4330,34.025688,-118.395302,4346,33.984341,-118.47155,16224,1,One Way,Walk-up,smart
128314470,75,09/01/2019 11:02,09/01/2019 12:17,4330,34.025688,-118.395302,4346,33.984341,-118.47155,16004,365,One Way,Walk-up,smart
128311853,19,09/01/2019 11:05,09/01/2019 11:24,4311,34.059689,-118.294662,4311,34.059689,-118.294662,17037,30,Round Trip,Monthly Pass,electric
128311634,11,09/01/2019 11:06,09/01/2019 11:17,4344,34.014309,-118.491341,4344,34.014309,-118.491341,15903,30,Round Trip,Monthly Pass,smart
128312076,22,09/01/2019 11:06,09/01/2019 11:28,4322,34.005871,-118.429161,4285,,,15523,1,One Way,One Day Pass,smart
128311631,9,09/01/2019 11:07,09/01/2019 11:16,4344,34.014309,-118.491341,4344,34.014309,-118.491341,16244,30,Round Trip,Monthly Pass,smart
128312962,41,09/01/2019 11:07,09/01/2019 11:48,4353,33.988129,-118.471741,4286,,,15945,1,One Way,Walk-up,smart
128311848,16,09/01/2019 11:08,09/01/2019 11:24,3042,34.049301,-118.238808,3037,34.034801,-118.231277,17584,1,One Way,Walk-up,electric
128312299,26,09/01/2019 11:08,09/01/2019 11:34,4344,34.014309,-118.491341,4344,34.014309,-118.491341,16190,30,Round Trip,Monthly Pass,smart
128311415,1,09/01/2019 11:10,09/01/2019 11:11,4344,34.014309,-118.491341,4344,34.014309,-118.491341,15652,30,Round Trip,Monthly Pass,smart
128312956,35,09/01/2019 11:11,09/01/2019 11:46,4353,33.988129,-118.471741,4286,,,15997,1,One Way,Walk-up,smart
128311845,8,09/01/2019 11:12,09/01/2019 11:20,3062,34.047749,-118.243172,3026,34.063179,-118.24588,18848,30,One Way,Monthly Pass,electric
128313817,49,09/01/2019 11:12,09/01/2019 12:01,4311,34.059689,-118.294662,4410,34.063351,-118.296799,17652,30,One Way,Monthly Pass,electric
128311628,3,09/01/2019 11:16,09/01/2019 11:19,4344,34.014309,-118.491341,4344,34.014309,-118.491341,16102,30,Round Trip,Monthly Pass,smart
128312291,16,09/01/2019 11:17,09/01/2019 11:33,4344,34.014309,-118.491341,4344,34.014309,-118.491341,16244,30,Round Trip,Monthly Pass,smart
